NewVisitor,Returning,GoogleCPC,BINGCPC,Facebook,Tripadvisor,Referrals,OrganicDirect,Mobile,Tablet,Desktop,Users,Sessions,PagesVisitedNumber,TransactionsNumber,Revenue
1,0,0,0,0,0,0,0,0,0,1,63,112,326,1,5742
0,1,0,0,0,0,0,0,0,0,1,83,224,672,5,5739.05
0,1,0,0,0,0,0,0,0,1,0,3,3,23,1,5731.2
1,0,0,0,0,0,0,0,0,0,1,1,14,82,1,5670.19
0,1,0,0,0,0,0,0,0,0,1,53,83,227,1,5628.12
1,0,0,0,0,0,0,0,1,0,0,391,687,3995,3,5625.4
1,0,0,0,0,0,0,0,0,0,1,825,827,2809,2,5400.8
0,1,0,0,0,0,0,0,0,0,1,305,307,943,2,5350.57
1,0,0,0,0,0,0,0,0,0,1,293,396,1180,3,5343.3
0,1,0,0,0,0,0,0,0,0,1,753,1380,5366,5,5310.78
1,0,0,0,0,0,0,0,0,0,1,100,124,512,3,5297.64
1,0,0,0,0,0,0,0,0,0,1,79,139,707,4,5290.99
1,0,0,0,0,0,0,0,0,0,1,270,398,1559,3,5276.62
0,1,0,0,0,0,0,0,0,0,1,122,198,657,9,5264.81
0,1,0,0,0,0,0,0,0,0,1,153,233,795,2,5249.83
1,0,0,0,0,0,0,0,0,0,1,70,71,174,1,5243.1
1,0,0,0,0,0,0,0,0,0,1,194,194,592,2,5233.28
1,0,0,0,0,0,0,0,0,0,1,180,318,1187,3,5206.33
0,1,0,0,0,0,0,0,0,0,1,73,131,311,6,5145.53
0,1,0,0,0,0,0,0,0,0,1,127,166,397,13,5127.09
1,0,0,0,0,0,0,0,0,0,1,1,11,75,1,5022.42
1,0,0,0,0,0,0,0,0,0,1,1780,1782,4689,5,5017.19
1,0,0,0,0,0,0,0,0,0,1,741,1141,4797,5,4997.7
0,1,0,0,0,0,0,0,1,0,0,94,156,562,1,4995.86
1,0,0,0,0,0,0,0,0,0,1,35,35,134,1,4964
1,0,0,0,0,0,0,0,0,0,1,1128,1129,4268,2,4938.8
0,1,0,0,0,0,0,0,0,0,1,1064,1065,1657,7,4917.63
0,1,0,0,0,0,0,0,0,0,1,33,102,231,4,4856.32
0,1,0,0,0,0,0,0,0,0,1,93,143,715,1,4788
1,0,0,0,0,0,0,0,0,0,1,926,927,3723,3,4767.53
1,0,0,0,0,0,0,0,0,0,1,932,934,3285,3,4659.1
1,0,0,0,0,0,0,0,1,0,0,14247,14288,63791,9,4631.16
1,0,0,0,0,0,0,0,0,0,1,143,143,489,3,4554.05
0,1,0,0,0,0,0,0,0,0,1,75,112,350,2,4548.05
0,1,0,0,0,0,0,0,0,0,1,136,235,927,3,4538.08
1,0,0,0,0,0,0,0,0,1,0,32,49,98,1,4392.96
1,0,0,0,0,0,0,0,0,1,0,9221,9258,43268,3,4371.12
1,0,0,0,0,0,0,0,1,0,0,27667,27745,149412,2,4270.5
1,0,0,0,0,0,0,0,0,0,1,74,214,467,8,4259.42
1,0,0,0,0,0,0,0,0,0,1,326,584,2562,2,4256.64
0,1,0,0,0,0,0,0,0,0,1,37,61,310,3,4231.55
1,0,0,0,0,0,0,0,0,0,1,19,36,99,1,4210.71
0,1,0,0,0,0,0,0,0,1,0,4588,9993,20131,1,4189.5
1,0,0,0,0,0,0,0,0,0,1,1,5,55,1,4179.51
1,0,0,0,0,0,0,0,0,1,0,105,137,281,2,4176.8
1,0,0,0,0,0,0,0,0,0,1,12,21,50,1,4172.4
1,0,0,0,0,0,0,0,0,0,1,176,310,905,2,4165.48
0,1,0,0,0,0,0,0,0,0,1,86,120,914,1,4140
0,1,0,0,0,0,0,0,0,0,1,21,29,122,1,4134.4
1,0,0,0,0,0,0,0,0,0,1,42,62,236,1,4126.8
1,0,0,0,0,0,0,0,0,0,1,10,16,93,1,4116.31
0,1,0,0,0,0,0,0,0,0,1,1459,1465,4975,2,4026.5
1,0,0,0,0,0,0,0,0,0,1,1,1,9,1,4008.24
0,1,0,0,0,0,0,0,0,0,1,1,2,9,2,3993.6
0,1,0,0,0,0,0,0,0,1,0,1681,2839,6955,4,3980.64
0,1,0,0,0,0,0,0,0,0,1,5,5,21,2,3976.6
0,1,0,0,0,0,0,0,0,0,1,85,165,565,2,3974.55
1,0,0,0,0,0,0,0,0,0,1,3,13,37,1,3961.2
1,0,0,0,0,0,0,0,0,0,1,150,152,277,8,3939.61
1,0,0,0,0,0,0,0,0,0,1,24,63,324,2,3939.39
1,0,0,0,0,0,0,0,0,0,1,107,140,375,4,3925.97
0,1,0,0,0,0,0,0,0,1,0,50,83,193,3,3922.17
1,0,0,0,0,0,0,0,0,0,1,9,27,94,2,3839.18
1,0,0,0,0,0,0,0,0,1,0,26,60,168,3,3817.07
1,0,0,0,0,0,0,0,0,0,1,1177,1177,2099,5,3743.22
1,0,0,0,0,0,0,0,0,1,0,2817,2826,10365,1,3700.8
0,1,0,0,0,0,0,0,0,0,1,451,763,3276,2,3669.8
0,1,0,0,0,0,0,0,0,0,1,4800,4826,16424,3,3662.9
1,0,0,0,0,0,0,0,0,0,1,379,540,1133,5,3653.06
1,0,0,0,0,0,0,0,0,0,1,7,14,50,1,3652.05
