Tipo de usuario,Fuente/medio,Código ISO del país,Categoría de dispositivo,Usuarios,Sesiones,Número de páginas vistas,Transacciones,Ingresos
New Visitor,(direct) / (none),NL,tablet,752,755,2528,0,0
New Visitor,dfa / cpc,NL,tablet,750,751,1388,0,0
New Visitor,google / organic,BE,mobile,749,749,4339,0,0
Returning Visitor,bing / organic,DE,desktop,741,1141,4797,5,4997.7
New Visitor,dbm / cpm,US,desktop,736,737,1215,0,0
Returning Visitor,google / organic,DO,mobile,736,1088,6053,0,0
Returning Visitor,google / organic,CL,mobile,733,1223,8822,0,0
Returning Visitor,dfa / cpc,BE,tablet,731,1545,2900,0,0
New Visitor,google / organic,SE,desktop,728,729,2254,2,3650.22
New Visitor,dfa / cpc,MX,tablet,727,727,1957,0,0
New Visitor,(direct) / (none),BE,mobile,726,726,3072,0,0
Returning Visitor,dfa / cpm,DE,desktop,709,2078,6442,42,68800.21
New Visitor,(direct) / (none),PL,desktop,706,706,1983,1,543.6
New Visitor,images.google.de / referral,DE,mobile,701,701,1522,0,0
New Visitor,10.59.1.1 / referral,CV,mobile,688,691,1285,0,0
New Visitor,email / email,GB,desktop,686,687,1746,2,6845.46
New Visitor,canada sale / email,CA,mobile,682,683,1858,0,0
Returning Visitor,dfa / cpm,ES,mobile,682,1278,2843,0,0
New Visitor,dfa / cpm,GB,tablet,674,675,954,0,0
New Visitor,google / organic,RU,desktop,669,671,2110,1,2040.08
New Visitor,msn.com / referral,CA,desktop,667,669,1718,0,0
New Visitor,google / organic,JM,desktop,664,666,2117,0,0
New Visitor,google / organic,DK,desktop,649,650,2139,1,766.3
Returning Visitor,google / cpc,PT,desktop,647,1036,3824,10,16033.7
Returning Visitor,dfa / cpm,GB,desktop,644,1945,6169,40,86961.74
New Visitor,dfa / cpc,ES,desktop,643,646,2137,2,2473.84
New Visitor,dfa / cpc,DE,desktop,639,641,2598,0,0
New Visitor,google / organic,VE,desktop,639,643,1747,0,0
Returning Visitor,dfa / cpm,US,mobile,632,1034,2204,0,0
Returning Visitor,google / cpc,NL,desktop,632,995,3862,9,11929.1
New Visitor,(direct) / (none),IE,mobile,624,626,2939,0,0
New Visitor,(direct) / (none),PT,tablet,624,628,1997,1,939.6
New Visitor,trivago.fr / referral,FR,desktop,623,623,1155,1,181.69
New Visitor,canada sale / email,CA,desktop,621,623,1485,0,0
Returning Visitor,google / organic,DO,desktop,613,913,3381,1,240.84
Returning Visitor,TripAdvisor / referral,GB,desktop,613,919,3185,8,24335.73
New Visitor,google / organic,JM,mobile,612,614,2850,0,0
Returning Visitor,dfa / cpc,CA,tablet,610,1007,2088,0,0
Returning Visitor,google / cpc,US,tablet,609,1023,4555,0,0
New Visitor,dfa / cpc,RU,desktop,608,608,1902,2,7070.71
New Visitor,bing / organic,BR,desktop,606,609,2468,1,7029
Returning Visitor,images.google / organic,FR,desktop,603,699,1195,0,0
Returning Visitor,dfa / cpc,CH,mobile,602,1176,3112,0,0
Returning Visitor,email / email,ES,desktop,602,859,3379,7,6372.03
Returning Visitor,(direct) / (none),BR,tablet,596,902,3073,4,17705.6
Returning Visitor,google / cpc,AT,desktop,590,927,3716,7,9865.41
New Visitor,(direct) / (none),AT,mobile,588,590,2842,2,11485.23
New Visitor,tripadvisor.co.uk / referral,GB,tablet,588,591,1953,0,0
New Visitor,yahoo / organic,GB,mobile,587,588,2928,0,0
New Visitor,trivago.co.uk / referral,GB,tablet,585,587,872,1,822.8
New Visitor,google / organic,IE,mobile,584,589,3332,0,0
New Visitor,(direct) / (none),DO,desktop,581,585,1693,0,0
Returning Visitor,(direct) / (none),FR,desktop,581,827,2993,21,85979.73
New Visitor,dfa / cpm,FR,mobile,579,579,781,0,0
Returning Visitor,google / organic,IT,tablet,569,1046,4838,0,0
New Visitor,google / organic,AT,tablet,564,566,2642,0,0
New Visitor,olivina.wifi / referral,ES,mobile,555,555,713,0,0
Returning Visitor,(direct) / (none),FR,tablet,555,926,2798,0,0
New Visitor,(direct) / (none),SE,desktop,538,538,1266,2,2143.32
Returning Visitor,olehotels.com / referral,GB,desktop,536,750,1843,15,14564.44
New Visitor,TripAdvisor / referral,US,desktop,527,530,1615,2,1598.7
New Visitor,suche.t-online.de / referral,DE,desktop,526,527,1989,1,510.85
Returning Visitor,(direct) / (none),FR,mobile,526,1019,2359,0,0
Returning Visitor,email / email,GB,desktop,523,711,2255,6,12420.77
Returning Visitor,dfa / cpc,MX,tablet,520,989,2222,0,0
Returning Visitor,dfa / cpc,NL,tablet,518,1108,1945,0,0
Returning Visitor,dsps / display,US,mobile,518,679,1546,0,0
New Visitor,m.facebook.com / referral,GB,mobile,517,517,1146,0,0
Returning Visitor,(direct) / (none),DO,mobile,507,940,2388,0,0
New Visitor,google / organic,CL,tablet,503,509,3259,0,0
Returning Visitor,dfa / cpm,FR,desktop,502,1282,3728,18,29638
New Visitor,trivago.de / referral,DE,tablet,501,502,835,0,0
New Visitor,dfa / cpc,AT,mobile,499,499,1705,0,0
Returning Visitor,(direct) / (none),CH,desktop,495,744,2812,22,64321.37
New Visitor,(direct) / (none),RO,desktop,493,493,1148,0,0
New Visitor,google / organic,PE,mobile,492,495,4067,0,0
New Visitor,dfa / cpm,GB,desktop,489,489,965,10,10949.37
Returning Visitor,google / organic,AT,tablet,486,958,3479,0,0
Returning Visitor,google / cpc,IT,desktop,483,790,3230,13,16867.92
Returning Visitor,dfa / cpc,ES,desktop,482,967,3395,8,7460.92
New Visitor,dfa / cpc,BE,mobile,481,481,1264,0,0
New Visitor,lacoladelparo.es / referral,ES,desktop,477,477,1280,0,0
Returning Visitor,google / organic,IE,desktop,477,792,3232,14,18630.46
New Visitor,yahoo / organic,GB,desktop,474,477,1843,0,0
New Visitor,(direct) / (none),AT,tablet,473,474,1886,0,0
